#separator:,
#html:true
#if matches:keep both
#notetype:Spanish Conjugation
#deck:Spanish::conjugación::All verbs::futuro: yo, tú, él
#columns:question,infinitivo,polski,english,person,case,conj_espanol,conj_polski,irregular,hint,tags
"cerrar, yo, futuro",cerrar,zamykać,to close,yo,futuro_simple,cerraré,,false,,
"cerrar, tú, futuro",cerrar,zamykać,to close,tu,futuro_simple,cerrarás,,false,,
"cerrar, él, futuro",cerrar,zamykać,to close,el,futuro_simple,cerrará,,false,,
"comer, yo, futuro",comer,jeść,to eat,yo,futuro_simple,comeré,,false,,conjugation::basic-verb
"comer, tú, futuro",comer,jeść,to eat,tu,futuro_simple,comerás,,false,,conjugation::basic-verb
"comer, él, futuro",comer,jeść,to eat,el,futuro_simple,comerá,,false,,conjugation::basic-verb
"componer, yo, futuro",componer,skomponować,to make up,yo,futuro_simple,compon<em>dr</em>é,,true,,
"componer, tú, futuro",componer,skomponować,to make up,tu,futuro_simple,compon<em>dr</em>ás,,true,,
"componer, él, futuro",componer,skomponować,to make up,el,futuro_simple,compon<em>dr</em>á,,true,,
"comprar, yo, futuro",comprar,kupować,to buy,yo,futuro_simple,compraré,,false,,conjugation::basic-verb
"comprar, tú, futuro",comprar,kupować,to buy,tu,futuro_simple,comprarás,,false,,conjugation::basic-verb
"comprar, él, futuro",comprar,kupować,to buy,el,futuro_simple,comprará,,false,,conjugation::basic-verb
"conducir, yo, futuro",conducir,prowadzić,to lead,yo,futuro_simple,conduciré,,false,,
"conducir, tú, futuro",conducir,prowadzić,to lead,tu,futuro_simple,conducirás,,false,,
"conducir, él, futuro",conducir,prowadzić,to lead,el,futuro_simple,conducirá,,false,,
"confundirse, yo, futuro",confundirse,pomylić się,to make a mistake,yo,futuro_simple,me confundiré,,false,,conjugation::basic-verb
"confundirse, tú, futuro",confundirse,pomylić się,to make a mistake,tu,futuro_simple,te confundirás,,false,,conjugation::basic-verb
"confundirse, él, futuro",confundirse,pomylić się,to make a mistake,el,futuro_simple,se confundirá,,false,,conjugation::basic-verb
"conocer, yo, futuro",conocer,znać,to know,yo,futuro_simple,conoceré,,false,,
"conocer, tú, futuro",conocer,znać,to know,tu,futuro_simple,conocerás,,false,,
"conocer, él, futuro",conocer,znać,to know,el,futuro_simple,conocerá,,false,,
"conseguir, yo, futuro",conseguir,zyskać,to get,yo,futuro_simple,conseguiré,,false,,conjugation::basic-verb
"conseguir, tú, futuro",conseguir,zyskać,to get,tu,futuro_simple,conseguirás,,false,,conjugation::basic-verb
"conseguir, él, futuro",conseguir,zyskać,to get,el,futuro_simple,conseguirá,,false,,conjugation::basic-verb
"construir, yo, futuro",construir,budować,to build,yo,futuro_simple,construiré,,false,,
"construir, tú, futuro",construir,budować,to build,tu,futuro_simple,construirás,,false,,
"construir, él, futuro",construir,budować,to build,el,futuro_simple,construirá,,false,,
"contar, yo, futuro",contar,liczyć,to count,yo,futuro_simple,contaré,,false,,
"contar, tú, futuro",contar,liczyć,to count,tu,futuro_simple,contarás,,false,,
"contar, él, futuro",contar,liczyć,to count,el,futuro_simple,contará,,false,,
"crecer, yo, futuro",crecer,rosnąć,to grow,yo,futuro_simple,creceré,,false,,
"crecer, tú, futuro",crecer,rosnąć,to grow,tu,futuro_simple,crecerás,,false,,
"crecer, él, futuro",crecer,rosnąć,to grow,el,futuro_simple,crecerá,,false,,
"dar, yo, futuro",dar,dać,to give,yo,futuro_simple,daré,,false,,conjugation::basic-verb
"dar, tú, futuro",dar,dać,to give,tu,futuro_simple,darás,,false,,conjugation::basic-verb
"dar, él, futuro",dar,dać,to give,el,futuro_simple,dará,,false,,conjugation::basic-verb
"deber, yo, futuro",deber,musieć,to owe,yo,futuro_simple,deberé,,false,,
"deber, tú, futuro",deber,musieć,to owe,tu,futuro_simple,deberás,,false,,
"deber, él, futuro",deber,musieć,to owe,el,futuro_simple,deberá,,false,,
"decir, yo, futuro",decir,mówić,to say,yo,futuro_simple,d<em>ir</em>é,,true,,conjugation::basic-verb
"decir, tú, futuro",decir,mówić,to say,tu,futuro_simple,d<em>ir</em>ás,,true,,conjugation::basic-verb
"decir, él, futuro",decir,mówić,to say,el,futuro_simple,d<em>ir</em>á,,true,,conjugation::basic-verb
"dejar, yo, futuro",dejar,pozostawić,to leave,yo,futuro_simple,dejaré,,false,,conjugation::basic-verb
"dejar, tú, futuro",dejar,pozostawić,to leave,tu,futuro_simple,dejarás,,false,,conjugation::basic-verb
"dejar, él, futuro",dejar,pozostawić,to leave,el,futuro_simple,dejará,,false,,conjugation::basic-verb
"desayunar, yo, futuro",desayunar,jeść śniadanie,to have breakfast,yo,futuro_simple,desayunaré,,false,,
"desayunar, tú, futuro",desayunar,jeść śniadanie,to have breakfast,tu,futuro_simple,desayunarás,,false,,
"desayunar, él, futuro",desayunar,jeść śniadanie,to have breakfast,el,futuro_simple,desayunará,,false,,
"descubrir, yo, futuro",descubrir,odkryć,to discover,yo,futuro_simple,descubriré,,false,,
"descubrir, tú, futuro",descubrir,odkryć,to discover,tu,futuro_simple,descubrirás,,false,,
"descubrir, él, futuro",descubrir,odkryć,to discover,el,futuro_simple,descubrirá,,false,,
"despertarse, yo, futuro",despertarse,budzić się,to wake up,yo,futuro_simple,me despertaré,,false,,conjugation::basic-verb
"despertarse, tú, futuro",despertarse,budzić się,to wake up,tu,futuro_simple,te despertarás,,false,,conjugation::basic-verb
"despertarse, él, futuro",despertarse,budzić się,to wake up,el,futuro_simple,se despertará,,false,,conjugation::basic-verb
"doler, yo, futuro",doler,boleć,to hurt,yo,futuro_simple,doleré,,false,,
"doler, tú, futuro",doler,boleć,to hurt,tu,futuro_simple,dolerás,,false,,
"doler, él, futuro",doler,boleć,to hurt,el,futuro_simple,dolerá,,false,,
"dormir, yo, futuro",dormir,spać,to sleep,yo,futuro_simple,dormiré,,false,,conjugation::basic-verb
"dormir, tú, futuro",dormir,spać,to sleep,tu,futuro_simple,dormirás,,false,,conjugation::basic-verb
"dormir, él, futuro",dormir,spać,to sleep,el,futuro_simple,dormirá,,false,,conjugation::basic-verb
"dudar, yo, futuro",dudar,wątpić,to doubt,yo,futuro_simple,dudaré,,false,,
"dudar, tú, futuro",dudar,wątpić,to doubt,tu,futuro_simple,dudarás,,false,,
"dudar, él, futuro",dudar,wątpić,to doubt,el,futuro_simple,dudará,,false,,
"empezar, yo, futuro",empezar,zaczynać,to start,yo,futuro_simple,empezaré,,false,,conjugation::basic-verb
"empezar, tú, futuro",empezar,zaczynać,to start,tu,futuro_simple,empezarás,,false,,conjugation::basic-verb
"empezar, él, futuro",empezar,zaczynać,to start,el,futuro_simple,empezará,,false,,conjugation::basic-verb
"encontrar, yo, futuro",encontrar,znaleźć,to find,yo,futuro_simple,encontraré,,false,,conjugation::basic-verb
"encontrar, tú, futuro",encontrar,znaleźć,to find,tu,futuro_simple,encontrarás,,false,,conjugation::basic-verb
"encontrar, él, futuro",encontrar,znaleźć,to find,el,futuro_simple,encontrará,,false,,conjugation::basic-verb
"entender, yo, futuro",entender,rozumieć,to understand,yo,futuro_simple,entenderé,,false,,conjugation::basic-verb
"entender, tú, futuro",entender,rozumieć,to understand,tu,futuro_simple,entenderás,,false,,conjugation::basic-verb
"entender, él, futuro",entender,rozumieć,to understand,el,futuro_simple,entenderá,,false,,conjugation::basic-verb
"equivocarse, yo, futuro",equivocarse,pomylić się,to make a mistake,yo,futuro_simple,me equivocaré,,false,,
"equivocarse, tú, futuro",equivocarse,pomylić się,to make a mistake,tu,futuro_simple,te equivocarás,,false,,
"equivocarse, él, futuro",equivocarse,pomylić się,to make a mistake,el,futuro_simple,se equivocará,,false,,
"escribir, yo, futuro",escribir,pisać,to write,yo,futuro_simple,escribiré,,false,,
"escribir, tú, futuro",escribir,pisać,to write,tu,futuro_simple,escribirás,,false,,
"escribir, él, futuro",escribir,pisać,to write,el,futuro_simple,escribirá,,false,,
"escuchar, yo, futuro",escuchar,słuchać,to listen to,yo,futuro_simple,escucharé,,false,,conjugation::basic-verb
"escuchar, tú, futuro",escuchar,słuchać,to listen to,tu,futuro_simple,escucharás,,false,,conjugation::basic-verb
"escuchar, él, futuro",escuchar,słuchać,to listen to,el,futuro_simple,escuchará,,false,,conjugation::basic-verb
"esperar, yo, futuro",esperar,czekać,to wait for,yo,futuro_simple,esperaré,,false,,
"esperar, tú, futuro",esperar,czekać,to wait for,tu,futuro_simple,esperarás,,false,,
"esperar, él, futuro",esperar,czekać,to wait for,el,futuro_simple,esperará,,false,,
"estar, yo, futuro",estar,być,to be,yo,futuro_simple,estaré,,false,estar,conjugation::basic-verb
"estar, tú, futuro",estar,być,to be,tu,futuro_simple,estarás,,false,estar,conjugation::basic-verb
"estar, él, futuro",estar,być,to be,el,futuro_simple,estará,,false,estar,conjugation::basic-verb
"fregar, yo, futuro",fregar,szorować,to wash,yo,futuro_simple,fregaré,,false,,
"fregar, tú, futuro",fregar,szorować,to wash,tu,futuro_simple,fregarás,,false,,
"fregar, él, futuro",fregar,szorować,to wash,el,futuro_simple,fregará,,false,,
"freír, yo, futuro",freír,smażyć,to fry,yo,futuro_simple,freiré,,false,,
"freír, tú, futuro",freír,smażyć,to fry,tu,futuro_simple,freirás,,false,,
"freír, él, futuro",freír,smażyć,to fry,el,futuro_simple,freirá,,false,,
"haber, yo, futuro",haber,egzystować,to have,yo,futuro_simple,hab<em>r</em>é,,true,,conjugation::basic-verb
"haber, tú, futuro",haber,egzystować,to have,tu,futuro_simple,hab<em>r</em>ás,,true,,conjugation::basic-verb
"haber, él, futuro",haber,egzystować,to have,el,futuro_simple,hab<em>r</em>á,,true,,conjugation::basic-verb
"hacer, yo, futuro",hacer,robić,to do,yo,futuro_simple,ha<em>r</em>é,,true,,conjugation::basic-verb
"hacer, tú, futuro",hacer,robić,to do,tu,futuro_simple,ha<em>r</em>ás,,true,,conjugation::basic-verb
"hacer, él, futuro",hacer,robić,to do,el,futuro_simple,ha<em>r</em>á,,true,,conjugation::basic-verb
"hervir, yo, futuro",hervir,gotować,to boil,yo,futuro_simple,herviré,,false,,
"hervir, tú, futuro",hervir,gotować,to boil,tu,futuro_simple,hervirás,,false,,
"hervir, él, futuro",hervir,gotować,to boil,el,futuro_simple,hervirá,,false,,
"huir, yo, futuro",huir,uciekać,to escape,yo,futuro_simple,huiré,,false,,
"huir, tú, futuro",huir,uciekać,to escape,tu,futuro_simple,huirás,,false,,
"huir, él, futuro",huir,uciekać,to escape,el,futuro_simple,huirá,,false,,
"imaginar, yo, futuro",imaginar,wyobrażać sobie,to imagine,yo,futuro_simple,imaginaré,,false,,
"imaginar, tú, futuro",imaginar,wyobrażać sobie,to imagine,tu,futuro_simple,imaginarás,,false,,
"imaginar, él, futuro",imaginar,wyobrażać sobie,to imagine,el,futuro_simple,imaginará,,false,,
"influir, yo, futuro",influir,wpływać,to influence,yo,futuro_simple,influiré,,false,,
"influir, tú, futuro",influir,wpływać,to influence,tu,futuro_simple,influirás,,false,,
"influir, él, futuro",influir,wpływać,to influence,el,futuro_simple,influirá,,false,,
"ir, yo, futuro",ir,iść,to go,yo,futuro_simple,iré,,false,ir,conjugation::basic-verb
"ir, tú, futuro",ir,iść,to go,tu,futuro_simple,irás,,false,ir,conjugation::basic-verb
"ir, él, futuro",ir,iść,to go,el,futuro_simple,irá,,false,ir,conjugation::basic-verb
"jugar, yo, futuro",jugar,grać,to play,yo,futuro_simple,jugaré,,false,,
"jugar, tú, futuro",jugar,grać,to play,tu,futuro_simple,jugarás,,false,,
"jugar, él, futuro",jugar,grać,to play,el,futuro_simple,jugará,,false,,
"lavar, yo, futuro",lavar,myć,to wash,yo,futuro_simple,lavaré,,false,,conjugation::basic-verb
"lavar, tú, futuro",lavar,myć,to wash,tu,futuro_simple,lavarás,,false,,conjugation::basic-verb
"lavar, él, futuro",lavar,myć,to wash,el,futuro_simple,lavará,,false,,conjugation::basic-verb
"lavarse, yo, futuro",lavarse,myć się,to wash,yo,futuro_simple,me lavaré,,false,,
"lavarse, tú, futuro",lavarse,myć się,to wash,tu,futuro_simple,te lavarás,,false,,
"lavarse, él, futuro",lavarse,myć się,to wash,el,futuro_simple,se lavará,,false,,
"levantarse, yo, futuro",levantarse,wstać; obudzić się,to get up,yo,futuro_simple,me levantaré,,false,,conjugation::basic-verb
"levantarse, tú, futuro",levantarse,wstać; obudzić się,to get up,tu,futuro_simple,te levantarás,,false,,conjugation::basic-verb
"levantarse, él, futuro",levantarse,wstać; obudzić się,to get up,el,futuro_simple,se levantará,,false,,conjugation::basic-verb
"limpiar, yo, futuro",limpiar,czyścić,to clean,yo,futuro_simple,limpiaré,,false,,
"limpiar, tú, futuro",limpiar,czyścić,to clean,tu,futuro_simple,limpiarás,,false,,
"limpiar, él, futuro",limpiar,czyścić,to clean,el,futuro_simple,limpiará,,false,,
"llamarse, yo, futuro",llamarse,nazywać się,to be called,yo,futuro_simple,me llamaré,,false,,
"llamarse, tú, futuro",llamarse,nazywać się,to be called,tu,futuro_simple,te llamarás,,false,,
"llamarse, él, futuro",llamarse,nazywać się,to be called,el,futuro_simple,se llamará,,false,,
"llevar, yo, futuro",llevar,nosić,to take,yo,futuro_simple,llevaré,,false,,conjugation::basic-verb
"llevar, tú, futuro",llevar,nosić,to take,tu,futuro_simple,llevarás,,false,,conjugation::basic-verb
"llevar, él, futuro",llevar,nosić,to take,el,futuro_simple,llevará,,false,,conjugation::basic-verb
"llevarse, yo, futuro",llevarse,dogadywać się,to take,yo,futuro_simple,me llevaré,,false,,
"llevarse, tú, futuro",llevarse,dogadywać się,to take,tu,futuro_simple,te llevarás,,false,,
"llevarse, él, futuro",llevarse,dogadywać się,to take,el,futuro_simple,se llevará,,false,,
"llover, yo, futuro",llover,padać,to rain,yo,futuro_simple,lloveré,,false,,
"llover, tú, futuro",llover,padać,to rain,tu,futuro_simple,lloverás,,false,,
"llover, él, futuro",llover,padać,to rain,el,futuro_simple,lloverá,,false,,
"luchar, yo, futuro",luchar,walczyć,to fight,yo,futuro_simple,lucharé,,false,,
"luchar, tú, futuro",luchar,walczyć,to fight,tu,futuro_simple,lucharás,,false,,
"luchar, él, futuro",luchar,walczyć,to fight,el,futuro_simple,luchará,,false,,
"marcar, yo, futuro",marcar,zaznaczać,to mark,yo,futuro_simple,marcaré,,false,,
"marcar, tú, futuro",marcar,zaznaczać,to mark,tu,futuro_simple,marcarás,,false,,
"marcar, él, futuro",marcar,zaznaczać,to mark,el,futuro_simple,marcará,,false,,
"medir, yo, futuro",medir,mierzyć,to measure,yo,futuro_simple,mediré,,false,,
"medir, tú, futuro",medir,mierzyć,to measure,tu,futuro_simple,medirás,,false,,
"medir, él, futuro",medir,mierzyć,to measure,el,futuro_simple,medirá,,false,,
"mirar, yo, futuro",mirar,spojrzeć,to look at,yo,futuro_simple,miraré,,false,,conjugation::basic-verb
"mirar, tú, futuro",mirar,spojrzeć,to look at,tu,futuro_simple,mirarás,,false,,conjugation::basic-verb
"mirar, él, futuro",mirar,spojrzeć,to look at,el,futuro_simple,mirará,,false,,conjugation::basic-verb
"morir, yo, futuro",morir,umrzeć,to die,yo,futuro_simple,moriré,,false,,
"morir, tú, futuro",morir,umrzeć,to die,tu,futuro_simple,morirás,,false,,
"morir, él, futuro",morir,umrzeć,to die,el,futuro_simple,morirá,,false,,
"mostrar, yo, futuro",mostrar,pokazywać,to show,yo,futuro_simple,mostraré,,false,,
"mostrar, tú, futuro",mostrar,pokazywać,to show,tu,futuro_simple,mostrarás,,false,,
"mostrar, él, futuro",mostrar,pokazywać,to show,el,futuro_simple,mostrará,,false,,
"mover, yo, futuro",mover,przenosić,to move,yo,futuro_simple,moveré,,false,,
"mover, tú, futuro",mover,przenosić,to move,tu,futuro_simple,moverás,,false,,
"mover, él, futuro",mover,przenosić,to move,el,futuro_simple,moverá,,false,,
"nacer, yo, futuro",nacer,urodzić się,to be born,yo,futuro_simple,naceré,,false,,
"nacer, tú, futuro",nacer,urodzić się,to be born,tu,futuro_simple,nacerás,,false,,
"nacer, él, futuro",nacer,urodzić się,to be born,el,futuro_simple,nacerá,,false,,
"obtener, yo, futuro",obtener,uzyskać,to get,yo,futuro_simple,obten<em>dr</em>é,,true,,
"obtener, tú, futuro",obtener,uzyskać,to get,tu,futuro_simple,obten<em>dr</em>ás,,true,,
"obtener, él, futuro",obtener,uzyskać,to get,el,futuro_simple,obten<em>dr</em>á,,true,,
"oler, yo, futuro",oler,wąchać,to smell,yo,futuro_simple,oleré,,false,,
"oler, tú, futuro",oler,wąchać,to smell,tu,futuro_simple,olerás,,false,,
"oler, él, futuro",oler,wąchać,to smell,el,futuro_simple,olerá,,false,,
"oír, yo, futuro",oír,słyszeć,to hear,yo,futuro_simple,oiré,,false,,conjugation::basic-verb
"oír, tú, futuro",oír,słyszeć,to hear,tu,futuro_simple,oirás,,false,,conjugation::basic-verb
"oír, él, futuro",oír,słyszeć,to hear,el,futuro_simple,oirá,,false,,conjugation::basic-verb
"pagar, yo, futuro",pagar,płacić,to pay,yo,futuro_simple,pagaré,,false,,conjugation::basic-verb
"pagar, tú, futuro",pagar,płacić,to pay,tu,futuro_simple,pagarás,,false,,conjugation::basic-verb
"pagar, él, futuro",pagar,płacić,to pay,el,futuro_simple,pagará,,false,,conjugation::basic-verb
"parecer, yo, futuro",parecer,przypominać,to seem,yo,futuro_simple,pareceré,,false,,
"parecer, tú, futuro",parecer,przypominać,to seem,tu,futuro_simple,parecerás,,false,,
"parecer, él, futuro",parecer,przypominać,to seem,el,futuro_simple,parecerá,,false,,
"pedir, yo, futuro",pedir,poprosić,to ask for,yo,futuro_simple,pediré,,false,,conjugation::basic-verb
"pedir, tú, futuro",pedir,poprosić,to ask for,tu,futuro_simple,pedirás,,false,,conjugation::basic-verb
"pedir, él, futuro",pedir,poprosić,to ask for,el,futuro_simple,pedirá,,false,,conjugation::basic-verb
"pensar, yo, futuro",pensar,myśleć,to think,yo,futuro_simple,pensaré,,false,,conjugation::basic-verb
"pensar, tú, futuro",pensar,myśleć,to think,tu,futuro_simple,pensarás,,false,,conjugation::basic-verb
"pensar, él, futuro",pensar,myśleć,to think,el,futuro_simple,pensará,,false,,conjugation::basic-verb
"poder, yo, futuro",poder,móc,to be able to,yo,futuro_simple,pod<em>r</em>é,,true,,conjugation::basic-verb
"poder, tú, futuro",poder,móc,to be able to,tu,futuro_simple,pod<em>r</em>ás,,true,,conjugation::basic-verb
"poder, él, futuro",poder,móc,to be able to,el,futuro_simple,pod<em>r</em>á,,true,,conjugation::basic-verb
"poner, yo, futuro",poner,kłaść,to put,yo,futuro_simple,pon<em>dr</em>é,,true,poner,conjugation::basic-verb
"poner, tú, futuro",poner,kłaść,to put,tu,futuro_simple,pon<em>dr</em>ás,,true,poner,conjugation::basic-verb
"poner, él, futuro",poner,kłaść,to put,el,futuro_simple,pon<em>dr</em>á,,true,poner,conjugation::basic-verb
"preferir, yo, futuro",preferir,preferować,to prefer,yo,futuro_simple,preferiré,,false,,
"preferir, tú, futuro",preferir,preferować,to prefer,tu,futuro_simple,preferirás,,false,,
"preferir, él, futuro",preferir,preferować,to prefer,el,futuro_simple,preferirá,,false,,
"preparar, yo, futuro",preparar,przygotować,to prepare,yo,futuro_simple,prepararé,,false,,
"preparar, tú, futuro",preparar,przygotować,to prepare,tu,futuro_simple,prepararás,,false,,
"preparar, él, futuro",preparar,przygotować,to prepare,el,futuro_simple,preparará,,false,,
"prestar, yo, futuro",prestar,pożyczyć,to lend,yo,futuro_simple,prestaré,,false,,conjugation::basic-verb
"prestar, tú, futuro",prestar,pożyczyć,to lend,tu,futuro_simple,prestarás,,false,,conjugation::basic-verb
"prestar, él, futuro",prestar,pożyczyć,to lend,el,futuro_simple,prestará,,false,,conjugation::basic-verb
"producir, yo, futuro",producir,produkować,to produce,yo,futuro_simple,produciré,,false,,
"producir, tú, futuro",producir,produkować,to produce,tu,futuro_simple,producirás,,false,,
"producir, él, futuro",producir,produkować,to produce,el,futuro_simple,producirá,,false,,
"prohibir, yo, futuro",prohibir,zabronić,to prohibit,yo,futuro_simple,prohibiré,,false,,
"prohibir, tú, futuro",prohibir,zabronić,to prohibit,tu,futuro_simple,prohibirás,,false,,
"prohibir, él, futuro",prohibir,zabronić,to prohibit,el,futuro_simple,prohibirá,,false,,
"querer, yo, futuro",querer,chcieć,to want,yo,futuro_simple,quer<em>r</em>é,,true,,conjugation::basic-verb
"querer, tú, futuro",querer,chcieć,to want,tu,futuro_simple,quer<em>r</em>ás,,true,,conjugation::basic-verb
"querer, él, futuro",querer,chcieć,to want,el,futuro_simple,quer<em>r</em>á,,true,,conjugation::basic-verb
"rechazar, yo, futuro",rechazar,odrzucać,to reject,yo,futuro_simple,rechazaré,,false,,
"rechazar, tú, futuro",rechazar,odrzucać,to reject,tu,futuro_simple,rechazarás,,false,,
"rechazar, él, futuro",rechazar,odrzucać,to reject,el,futuro_simple,rechazará,,false,,
"repetir, yo, futuro",repetir,powtarzać,to do again,yo,futuro_simple,repetiré,,false,,
"repetir, tú, futuro",repetir,powtarzać,to do again,tu,futuro_simple,repetirás,,false,,
"repetir, él, futuro",repetir,powtarzać,to do again,el,futuro_simple,repetirá,,false,,
"romperse, yo, futuro",romperse,złamać,to break,yo,futuro_simple,me romperé,,false,,
"romperse, tú, futuro",romperse,złamać,to break,tu,futuro_simple,te romperás,,false,,
"romperse, él, futuro",romperse,złamać,to break,el,futuro_simple,se romperá,,false,,
"romper, yo, futuro",romper,łamać,to break,yo,futuro_simple,romperé,,false,,
"romper, tú, futuro",romper,łamać,to break,tu,futuro_simple,romperás,,false,,
"romper, él, futuro",romper,łamać,to break,el,futuro_simple,romperá,,false,,
"saber, yo, futuro",saber,wiedzieć,to know,yo,futuro_simple,sab<em>r</em>é,,true,,conjugation::basic-verb
"saber, tú, futuro",saber,wiedzieć,to know,tu,futuro_simple,sab<em>r</em>ás,,true,,conjugation::basic-verb
"saber, él, futuro",saber,wiedzieć,to know,el,futuro_simple,sab<em>r</em>á,,true,,conjugation::basic-verb
"sacarse, yo, futuro",sacarse,dostać,to take off,yo,futuro_simple,me sacaré,,false,,
"sacarse, tú, futuro",sacarse,dostać,to take off,tu,futuro_simple,te sacarás,,false,,
"sacarse, él, futuro",sacarse,dostać,to take off,el,futuro_simple,se sacará,,false,,
"salir, yo, futuro",salir,wychodzić,to go out,yo,futuro_simple,sal<em>dr</em>é,,true,,conjugation::basic-verb
"salir, tú, futuro",salir,wychodzić,to go out,tu,futuro_simple,sal<em>dr</em>ás,,true,,conjugation::basic-verb
"salir, él, futuro",salir,wychodzić,to go out,el,futuro_simple,sal<em>dr</em>á,,true,,conjugation::basic-verb
"seguir, yo, futuro",seguir,kontynuować,to follow,yo,futuro_simple,seguiré,,false,,conjugation::basic-verb
"seguir, tú, futuro",seguir,kontynuować,to follow,tu,futuro_simple,seguirás,,false,,conjugation::basic-verb
"seguir, él, futuro",seguir,kontynuować,to follow,el,futuro_simple,seguirá,,false,,conjugation::basic-verb
"sentir, yo, futuro",sentir,czuć,to feel,yo,futuro_simple,sentiré,,false,,
"sentir, tú, futuro",sentir,czuć,to feel,tu,futuro_simple,sentirás,,false,,
"sentir, él, futuro",sentir,czuć,to feel,el,futuro_simple,sentirá,,false,,
"ser, yo, futuro",ser,być,to be,yo,futuro_simple,seré,,false,ser,conjugation::basic-verb
